dataset,split,image_id,image_path,label_path,img_exists,img_width,img_height,class_id,class_name,bbox_x_center,bbox_y_center,bbox_width,bbox_height,has_annotation,bbox_w_px,bbox_h_px,bbox_area_norm,aspect_ratio,is_tiny,is_giant,label_binary,bbox_x_px,bbox_y_px,X11,Y11,X12,Y12,X23,Y23,X24,Y24,X25,Y25,X26,Y26,X27,Y27,X28,Y28
fall,train,-12-_JPG_jpg.rf.978533ea530e34baddbb491c6c89717b,D:\safewatch-elderwatch\data\raw\human_fall\train\images\-12-_JPG_jpg.rf.978533ea530e34baddbb491c6c89717b.jpg,D:\safewatch-elderwatch\data\raw\human_fall\train\labels\-12-_JPG_jpg.rf.978533ea530e34baddbb491c6c89717b.txt,True,640,640,2.0,Sitting,0.509375,0.50390625,0.31640625,0.88125,True,202.5,564.0,0.2788330078125,0.3590425525548891,False,False,normal,326.0,322.5,0.8485588431358337,0.24150095880031586,0.29767462611198425,0.25657209753990173,0.713566243648529,0.4944896697998047,0.40677496790885925,0.4941079020500183,0.8315411806106567,0.551844596862793,0.1191469132900238,0.5223550796508789,0.7454562783241272,0.8353520035743713,0.19397461414337158,0.8107396960258484
fall,train,-12-_JPG_jpg.rf.a55260ffa92792124c7141b2ee420ee8,D:\safewatch-elderwatch\data\raw\human_fall\train\images\-12-_JPG_jpg.rf.a55260ffa92792124c7141b2ee420ee8.jpg,D:\safewatch-elderwatch\data\raw\human_fall\train\labels\-12-_JPG_jpg.rf.a55260ffa92792124c7141b2ee420ee8.txt,True,640,640,2.0,Sitting,0.50625,0.50625,0.346875,0.871875,True,222.0,558.0,0.302431640625,0.3978494616525995,False,False,normal,324.0,324.0,0.8319658041000366,0.23183630406856537,0.3164423108100891,0.24470435082912445,0.7226505279541016,0.4950465261936188,0.4293988347053528,0.4953998327255249,0.8032430410385132,0.5408994555473328,0.14887547492980957,0.5193749666213989,0.7378820180892944,0.8478420376777649,0.26139551401138306,0.8438385725021362
fall,train,-12-_JPG_jpg.rf.c55dac3db10afa752c20363bdc27d6b4,D:\safewatch-elderwatch\data\raw\human_fall\train\images\-12-_JPG_jpg.rf.c55dac3db10afa752c20363bdc27d6b4.jpg,D:\safewatch-elderwatch\data\raw\human_fall\train\labels\-12-_JPG_jpg.rf.c55dac3db10afa752c20363bdc27d6b4.txt,True,640,640,2.0,Sitting,0.50625,0.50703125,0.346875,0.8734375,True,222.0,559.0,0.3029736328125,0.397137745264512,False,False,normal,324.0,324.5,0.831153392791748,0.23111236095428467,0.30557045340538025,0.24107924103736877,0.721116304397583,0.48873233795166016,0.42483580112457275,0.4889371693134308,0.8105143904685974,0.545118510723114,0.15043562650680542,0.5216591358184814,0.7386379241943359,0.8431780338287354,0.2664676904678345,0.849331259727478
fall,train,-130-Artofit-1-_jpg.rf.788b78b2d5383acb6fbf5a18bb99fff2,D:\safewatch-elderwatch\data\raw\human_fall\train\images\-130-Artofit-1-_jpg.rf.788b78b2d5383acb6fbf5a18bb99fff2.jpg,D:\safewatch-elderwatch\data\raw\human_fall\train\labels\-130-Artofit-1-_jpg.rf.788b78b2d5383acb6fbf5a18bb99fff2.txt,True,640,640,2.0,Sitting,0.84140625,0.6796875,0.3171875,0.63984375,True,203.0,409.5,0.202950439453125,0.4957264945159304,False,False,normal,538.5,435.0,0.9197880029678345,0.4626718759536743,0.25943267345428467,0.4723937213420868,0.8845592737197876,1.0015277862548828,0.4280785918235779,0.9747239947319031,0.7927738428115845,1.4018151760101318,0.37279102206230164,1.378391146659851,0.7549730539321899,1.7696799039840698,0.40984660387039185,1.755312204360962
fall,train,-37315983-_yythk-1-_jpg.rf.f4ee3b720514b83ec4de762141669a29,D:\safewatch-elderwatch\data\raw\human_fall\train\images\-37315983-_yythk-1-_jpg.rf.f4ee3b720514b83ec4de762141669a29.jpg,D:\safewatch-elderwatch\data\raw\human_fall\train\labels\-37315983-_yythk-1-_jpg.rf.f4ee3b720514b83ec4de762141669a29.txt,True,640,640,2.0,Sitting,0.615625,0.54140625,0.290625,0.78046875,True,186.0,499.5,0.22682373046875,0.3723723716268821,False,False,normal,394.0,346.5,0.5537816882133484,0.22563201189041138,0.09858936071395874,0.23925641179084778,0.44657453894615173,0.49429935216903687,0.1992245614528656,0.5008187294006348,0.43607839941978455,0.6756470203399658,0.22954422235488892,0.6384199857711792,0.6533456444740295,0.8815762996673584,0.562685489654541,0.8614330291748047
fall,train,-3D-TurboSquid-1186409_jpg.rf.57c5181c2d7c82ed14084ea6edbf36e3,D:\safewatch-elderwatch\data\raw\human_fall\train\images\-3D-TurboSquid-1186409_jpg.rf.57c5181c2d7c82ed14084ea6edbf36e3.jpg,D:\safewatch-elderwatch\data\raw\human_fall\train\labels\-3D-TurboSquid-1186409_jpg.rf.57c5181c2d7c82ed14084ea6edbf36e3.txt,True,640,640,2.0,Sitting,0.47578125,0.49921875,0.371875,0.75625,True,238.0,484.0,0.28123046875,0.4917355361741001,False,False,normal,304.5,319.5,0.9112074375152588,0.23932203650474548,0.5284300446510315,0.22525757551193237,0.8156719207763672,0.5015071630477905,0.5824838876724243,0.4908049702644348,0.6064997911453247,0.4746960401535034,0.5221155285835266,0.5675411820411682,0.23352131247520447,0.7017041444778442,0.5796754360198975,0.869384765625
fall,train,-3D-_29-_yyth-1-_jpg.rf.046a7a7688f0619ffb956612740627e4,D:\safewatch-elderwatch\data\raw\human_fall\train\images\-3D-_29-_yyth-1-_jpg.rf.046a7a7688f0619ffb956612740627e4.jpg,D:\safewatch-elderwatch\data\raw\human_fall\train\labels\-3D-_29-_yyth-1-_jpg.rf.046a7a7688f0619ffb956612740627e4.txt,True,640,640,2.0,Sitting,0.509375,0.60390625,0.27109375,0.7921875,True,173.5,507.0,0.214757080078125,0.3422090723033351,False,False,normal,326.0,386.5,0.9001861214637756,0.2427404522895813,0.25912031531333923,0.23272794485092163,0.7208153605461121,0.5327115058898926,0.3436594605445862,0.5235303640365601,0.8422769904136658,0.6278879046440125,0.5847604870796204,0.6219276785850525,0.5755425095558167,0.8736598491668701,0.32569557428359985,0.8733069896697998
fall,train,-3D-_29_jpg.rf.0d19a354360972df53fca46b763aa957,D:\safewatch-elderwatch\data\raw\human_fall\train\images\-3D-_29_jpg.rf.0d19a354360972df53fca46b763aa957.jpg,D:\safewatch-elderwatch\data\raw\human_fall\train\labels\-3D-_29_jpg.rf.0d19a354360972df53fca46b763aa957.txt,True,640,640,2.0,Sitting,0.55,0.59609375,0.271875,0.8078125,True,174.0,517.0,0.2196240234374999,0.3365570593103345,False,False,normal,352.0,381.5,0.7350562810897827,0.2377752661705017,0.12641000747680664,0.2190922498703003,0.5393413305282593,0.4922288954257965,0.18433606624603271,0.49576643109321594,0.476490318775177,0.5789141654968262,0.4668036699295044,0.5650132894515991,0.5185648202896118,0.8544385433197021,0.6410267353057861,0.8453584909439087
fall,train,-43843021-PIXTA_jpg.rf.6372fd498482442cdcb813ba54dc7346,D:\safewatch-elderwatch\data\raw\human_fall\train\images\-43843021-PIXTA_jpg.rf.6372fd498482442cdcb813ba54dc7346.jpg,D:\safewatch-elderwatch\data\raw\human_fall\train\labels\-43843021-PIXTA_jpg.rf.6372fd498482442cdcb813ba54dc7346.txt,True,640,640,2.0,Sitting,0.66328125,0.528125,0.56328125,0.8203125,True,360.5,525.0,0.4620666503906249,0.6866666653587301,False,False,normal,424.5,338.0,0.9156728982925415,0.35361456871032715,0.5509913563728333,0.3718222975730896,0.8094083070755005,0.7512125372886658,0.5838763117790222,0.7318660020828247,0.6143341064453125,0.8332043886184692,0.1686462163925171,0.7404043078422546,0.38284364342689514,1.0380209684371948,0.28298622369766235,0.9880903363227844
fall,train,-60-_jpg.rf.e795f8bb22fda45f6ad2ec2080771b97,D:\safewatch-elderwatch\data\raw\human_fall\train\images\-60-_jpg.rf.e795f8bb22fda45f6ad2ec2080771b97.jpg,D:\safewatch-elderwatch\data\raw\human_fall\train\labels\-60-_jpg.rf.e795f8bb22fda45f6ad2ec2080771b97.txt,True,640,640,2.0,Sitting,0.54453125,0.53046875,0.696875,0.72421875,True,446.0,463.5,0.50468994140625,0.9622437951192152,False,False,normal,348.5,339.5,0.4245500862598419,0.2619326710700989,0.2532486915588379,0.3245083689689636,0.24084384739398956,0.7001540660858154,0.10184085369110107,0.7188268899917603,0.688996434211731,0.6739011406898499,0.34260794520378113,0.4626971185207367,0.29112520813941956,0.8036385178565979,0.6041608452796936,0.8546921610832214
