dataset,split,image_id,image_path,label_path,img_exists,img_width,img_height,class_id,class_name,bbox_x_center,bbox_y_center,bbox_width,bbox_height,has_annotation
person,train,000000000036_jpg.rf.3cdafd8800b86876f5869b836491f7e8,D:\2. Semester 6\Konversi DBS\capstone\safewatch2\data\raw\person_detection\train\images\000000000036_jpg.rf.3cdafd8800b86876f5869b836491f7e8.jpg,D:\2. Semester 6\Konversi DBS\capstone\safewatch2\data\raw\person_detection\train\labels\000000000036_jpg.rf.3cdafd8800b86876f5869b836491f7e8.txt,True,640,640,0.0,person,0.66875,0.615625,0.646875,0.728125,True
person,train,000000000061_jpg.rf.b5aa4bd3e0dbb3800d0f1f841aaf99aa,D:\2. Semester 6\Konversi DBS\capstone\safewatch2\data\raw\person_detection\train\images\000000000061_jpg.rf.b5aa4bd3e0dbb3800d0f1f841aaf99aa.jpg,D:\2. Semester 6\Konversi DBS\capstone\safewatch2\data\raw\person_detection\train\labels\000000000061_jpg.rf.b5aa4bd3e0dbb3800d0f1f841aaf99aa.txt,True,640,640,0.0,person,0.44375,0.47734375,0.075,0.11875,True
person,train,000000000061_jpg.rf.b5aa4bd3e0dbb3800d0f1f841aaf99aa,D:\2. Semester 6\Konversi DBS\capstone\safewatch2\data\raw\person_detection\train\images\000000000061_jpg.rf.b5aa4bd3e0dbb3800d0f1f841aaf99aa.jpg,D:\2. Semester 6\Konversi DBS\capstone\safewatch2\data\raw\person_detection\train\labels\000000000061_jpg.rf.b5aa4bd3e0dbb3800d0f1f841aaf99aa.txt,True,640,640,0.0,person,0.6375,0.46953125,0.05,0.08203125,True
person,train,000000000061_jpg.rf.b5aa4bd3e0dbb3800d0f1f841aaf99aa,D:\2. Semester 6\Konversi DBS\capstone\safewatch2\data\raw\person_detection\train\images\000000000061_jpg.rf.b5aa4bd3e0dbb3800d0f1f841aaf99aa.jpg,D:\2. Semester 6\Konversi DBS\capstone\safewatch2\data\raw\person_detection\train\labels\000000000061_jpg.rf.b5aa4bd3e0dbb3800d0f1f841aaf99aa.txt,True,640,640,0.0,person,0.4328125,0.4546875,0.053125,0.1109375,True
person,train,000000000074_jpg.rf.eb76da7a1a81556249e797257d171b18,D:\2. Semester 6\Konversi DBS\capstone\safewatch2\data\raw\person_detection\train\images\000000000074_jpg.rf.eb76da7a1a81556249e797257d171b18.jpg,D:\2. Semester 6\Konversi DBS\capstone\safewatch2\data\raw\person_detection\train\labels\000000000074_jpg.rf.eb76da7a1a81556249e797257d171b18.txt,True,640,640,0.0,person,0.4734375,0.28515625,0.028125,0.13828125,True
person,train,000000000074_jpg.rf.eb76da7a1a81556249e797257d171b18,D:\2. Semester 6\Konversi DBS\capstone\safewatch2\data\raw\person_detection\train\images\000000000074_jpg.rf.eb76da7a1a81556249e797257d171b18.jpg,D:\2. Semester 6\Konversi DBS\capstone\safewatch2\data\raw\person_detection\train\labels\000000000074_jpg.rf.eb76da7a1a81556249e797257d171b18.txt,True,640,640,0.0,person,0.51875,0.2546875,0.021875,0.05859375,True
person,train,000000000074_jpg.rf.eb76da7a1a81556249e797257d171b18,D:\2. Semester 6\Konversi DBS\capstone\safewatch2\data\raw\person_detection\train\images\000000000074_jpg.rf.eb76da7a1a81556249e797257d171b18.jpg,D:\2. Semester 6\Konversi DBS\capstone\safewatch2\data\raw\person_detection\train\labels\000000000074_jpg.rf.eb76da7a1a81556249e797257d171b18.txt,True,640,640,0.0,person,0.5671875,0.28203125,0.025,0.121875,True
person,train,000000000074_jpg.rf.eb76da7a1a81556249e797257d171b18,D:\2. Semester 6\Konversi DBS\capstone\safewatch2\data\raw\person_detection\train\images\000000000074_jpg.rf.eb76da7a1a81556249e797257d171b18.jpg,D:\2. Semester 6\Konversi DBS\capstone\safewatch2\data\raw\person_detection\train\labels\000000000074_jpg.rf.eb76da7a1a81556249e797257d171b18.txt,True,640,640,0.0,person,0.74453125,0.2921875,0.0484375,0.09609375,True
person,train,000000000074_jpg.rf.eb76da7a1a81556249e797257d171b18,D:\2. Semester 6\Konversi DBS\capstone\safewatch2\data\raw\person_detection\train\images\000000000074_jpg.rf.eb76da7a1a81556249e797257d171b18.jpg,D:\2. Semester 6\Konversi DBS\capstone\safewatch2\data\raw\person_detection\train\labels\000000000074_jpg.rf.eb76da7a1a81556249e797257d171b18.txt,True,640,640,0.0,person,0.44296875,0.29453125,0.0234375,0.11015625,True
person,train,000000000074_jpg.rf.eb76da7a1a81556249e797257d171b18,D:\2. Semester 6\Konversi DBS\capstone\safewatch2\data\raw\person_detection\train\images\000000000074_jpg.rf.eb76da7a1a81556249e797257d171b18.jpg,D:\2. Semester 6\Konversi DBS\capstone\safewatch2\data\raw\person_detection\train\labels\000000000074_jpg.rf.eb76da7a1a81556249e797257d171b18.txt,True,640,640,0.0,person,0.4484375,0.26796875,0.01875,0.05625,True
